Seq_id,Strand,Start,End,Length,Block,sp,Size,Description
17,+,85393775,85412655,18880,2927,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57094502,57067756,26746,2927,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85370521,85375566,5045,2926,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57118865,57111928,6937,2926,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85357996,85370023,12027,2925,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57133008,57120729,12279,2925,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85341088,85346143,5055,2924,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57151712,57146425,5287,2924,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85333097,85340155,7058,2923,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57159130,57151712,7418,2923,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85286035,85328497,42462,2922,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57212811,57164244,48567,2922,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85277068,85285268,8200,2921,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57238017,57228841,9176,2921,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85156801,85276748,119947,2920,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57365316,57239546,125770,2920,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85114814,85156532,41718,2919,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57418928,57374289,44639,2919,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85066952,85114042,47090,2918,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57467696,57419453,48243,2918,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85037006,85066732,29726,2917,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57499087,57467696,31391,2917,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,85026835,85036722,9887,2916,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57510909,57500709,10200,2916,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84902771,85026570,123799,2915,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57641068,57510909,130159,2915,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84809008,84902426,93418,2914,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57737576,57641208,96368,2914,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84802236,84808792,6556,2913,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57746236,57739039,7197,2913,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84790058,84798579,8521,2912,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57758101,57749478,8623,2912,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84767922,84785310,17388,2911,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57780407,57762083,18324,2911,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84756769,84765180,8411,2910,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57791997,57783318,8679,2910,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84742652,84756078,13426,2909,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57806013,57792102,13911,2909,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84720068,84736869,16801,2908,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57827321,57809116,18205,2908,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84712287,84719608,7321,2907,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57835803,57827486,8317,2907,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84668929,84708774,39845,2906,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57881769,57839526,42243,2906,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84662279,84668284,6005,2905,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,57890626,57884321,6305,2905,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84543451,84648903,105452,2904,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58017940,57907884,110056,2904,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84472270,84543207,70937,2903,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58094109,58019990,74119,2903,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84462016,84470883,8867,2902,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58104959,58095760,9199,2902,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84427437,84461725,34288,2901,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58144754,58105991,38763,2901,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84414879,84426757,11878,2900,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58159762,58147724,12038,2900,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84406470,84414536,8066,2899,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58168244,58160079,8165,2899,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84318592,84405668,87076,2898,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58259765,58168244,91521,2898,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84303510,84318289,14779,2897,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58276125,58261451,14674,2897,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84270675,84303200,32525,2896,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58309021,58276125,32896,2896,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84253291,84270116,16825,2895,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58325875,58309021,16854,2895,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84223708,84247153,23445,2894,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58354704,58330768,23936,2894,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84205332,84222577,17245,2893,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58372417,58354742,17675,2893,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84157166,84205091,47925,2892,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58424132,58373536,50596,2892,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84134816,84156647,21831,2891,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58449967,58426743,23224,2891,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84127796,84134787,6991,2890,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58461166,58452543,8623,2890,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84088180,84127157,38977,2889,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58505230,58462865,42365,2889,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84068345,84087478,19133,2888,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58529065,58509267,19798,2888,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,84049916,84067919,18003,2887,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58547564,58529211,18353,2887,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83895453,84048242,152789,2886,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58706511,58547564,158947,2886,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83888356,83894887,6531,2885,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58714744,58708180,6564,2885,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83874867,83887922,13055,2884,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58727834,58714744,13090,2884,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83823426,83856254,32828,2883,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58778976,58745630,33346,2883,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83803827,83823192,19365,2882,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58799475,58778976,20499,2882,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83787658,83803383,15725,2881,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58815850,58799915,15935,2881,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83757682,83786628,28946,2880,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58845082,58815850,29232,2880,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83737622,83752663,15041,2879,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58863491,58848113,15378,2879,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83725514,83736920,11406,2878,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58875099,58863491,11608,2878,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83716414,83724822,8408,2877,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58884035,58875228,8807,2877,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83707720,83715942,8222,2876,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58892665,58884157,8508,2876,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83676478,83705926,29448,2875,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,58922377,58892665,29712,2875,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83586952,83673397,86445,2874,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59013687,58924336,89351,2874,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83554078,83585909,31831,2873,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59048440,59015830,32610,2873,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83524479,83531189,6710,2872,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59081696,59074902,6794,2872,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83496939,83514195,17256,2871,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59110663,59092888,17775,2871,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83440570,83495494,54924,2870,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59168532,59111626,56906,2870,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83386560,83439692,53132,2869,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59227768,59174205,53563,2869,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83353519,83386230,32711,2868,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59262241,59227768,34473,2868,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83338275,83353012,14737,2867,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59277587,59263064,14523,2867,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83271873,83337798,65925,2866,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59346794,59277587,69207,2866,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83244586,83270428,25842,2865,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59374227,59347663,26564,2865,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83229883,83238739,8856,2864,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59389436,59379811,9625,2864,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
17,+,83172774,83229296,56522,2863,GCA_009819775,85472901,GCA_009819775.1_bPhoRub2.pri.chr4
23,-,59451021,59389436,61585,2863,GCA_009819775,85554746,GCA_017639555.1_bCicMag1.pri.CM030196.1
