Seq_id,Strand,Start,End,Length,Block
4,+,55510194,55653895,143701,2590
14,-,56002347,55851247,151100,2590
4,+,55452841,55461664,8823,2589
14,-,56066539,56056938,9601,2589
4,+,55430385,55443121,12736,2588
14,-,56082097,56068987,13110,2588
4,+,55395835,55428123,32288,2587
14,-,56116516,56082097,34419,2587
4,+,55378547,55394098,15551,2586
14,-,56133750,56117600,16150,2586
4,+,55361160,55378287,17127,2585
14,-,56153268,56134242,19026,2585
4,+,55334430,55344056,9626,2584
14,-,56174461,56163105,11356,2584
4,+,55304876,55327095,22219,2583
14,-,56208191,56184384,23807,2583
4,+,55266196,55303363,37167,2582
14,-,56248905,56208199,40706,2582
4,+,55260924,55265932,5008,2581
14,-,56260896,56255353,5543,2581
4,+,55239562,55251400,11838,2580
14,-,56281059,56267861,13198,2580
4,+,55230991,55238029,7038,2579
14,-,56289733,56281498,8235,2579
4,+,55160613,55178069,17456,2578
14,-,56364359,56345137,19222,2578
4,+,55152933,55158686,5753,2577
14,-,56374941,56368581,6360,2577
4,+,55142284,55149082,6798,2576
14,-,56382955,56375768,7187,2576
4,+,55115163,55141576,26413,2575
14,-,56411871,56383008,28863,2575
4,+,55093609,55110216,16607,2574
14,-,56436997,56419534,17463,2574
4,+,55087680,55093078,5398,2573
14,-,56443831,56438375,5456,2573
4,+,55056932,55085328,28396,2572
14,-,56474078,56444638,29440,2572
4,+,55039209,55045911,6702,2571
14,-,56492080,56483361,8719,2571
4,+,55009862,55038851,28989,2570
14,-,56523848,56492413,31435,2570
4,+,54995120,55009335,14215,2569
14,-,56542069,56527154,14915,2569
4,+,54988796,54994904,6108,2568
14,-,56549097,56542260,6837,2568
4,+,54973916,54986837,12921,2567
14,-,56568064,56554264,13800,2567
4,+,54968166,54973714,5548,2566
14,-,56581108,56575339,5769,2566
4,+,54935676,54948466,12790,2565
14,-,56608562,56592905,15657,2565
4,+,54902463,54914843,12380,2564
14,-,56640660,56626186,14474,2564
4,+,54886391,54899664,13273,2563
14,-,56658338,56642375,15963,2563
4,+,54874908,54885443,10535,2562
14,-,56670280,56658682,11598,2562
4,+,54853919,54869670,15751,2561
14,-,56693240,56675986,17254,2561
4,+,54838575,54853135,14560,2560
14,-,56712188,56694597,17591,2560
4,+,54805401,54831773,26372,2559
14,-,56746170,56717457,28713,2559
4,+,54595682,54693630,97948,2558
14,-,56961940,56858743,103197,2558
