Seq_id,Strand,Start,End,Length,Block
4,+,85445950,85512212,66262,2866
10,-,26866032,26797150,68882,2866
4,+,85426053,85432272,6219,2865
10,-,26919465,26913746,5719,2865
4,+,85416897,85425643,8746,2864
10,-,26928315,26919996,8319,2864
4,+,85401046,85416897,15851,2863
10,-,26944045,26928720,15325,2863
4,+,85381925,85400905,18980,2862
10,-,26962597,26944459,18138,2862
4,+,85340430,85380441,40011,2861
10,-,27001944,26965102,36842,2861
4,+,85326621,85338853,12232,2860
10,-,27013493,27002168,11325,2860
4,+,85315856,85325071,9215,2859
10,-,27023959,27016600,7359,2859
4,+,85293784,85310164,16380,2858
10,-,27039428,27024607,14821,2858
4,+,85286749,85293769,7020,2857
10,-,27051983,27045248,6735,2857
4,+,85270810,85280575,9765,2856
10,-,27070104,27060836,9268,2856
4,+,85261972,85270810,8838,2855
10,-,27078874,27070370,8504,2855
4,+,85228410,85246571,18161,2854
10,-,27110323,27093450,16873,2854
4,+,85181875,85191880,10005,2853
10,-,27157300,27147761,9539,2853
4,+,85161280,85181811,20531,2852
10,-,27176462,27157307,19155,2852
4,+,85146752,85160459,13707,2851
10,-,27192133,27178635,13498,2851
4,+,85110087,85132182,22095,2850
10,-,27222534,27201179,21355,2850
4,+,85096449,85109736,13287,2849
10,-,27236428,27223657,12771,2849
4,+,85089482,85096449,6967,2848
10,-,27244003,27237040,6963,2848
4,+,85080588,85088091,7503,2847
10,-,27253786,27246401,7385,2847
4,+,85030218,85052054,21836,2846
10,-,27330020,27309603,20417,2846
4,+,85021251,85030218,8967,2845
10,-,27339970,27331103,8867,2845
4,+,85001506,85021251,19745,2844
10,-,27358660,27340178,18482,2844
4,+,84988578,85000888,12310,2843
10,-,27371463,27360278,11185,2843
4,+,84981357,84987652,6295,2842
10,-,27378670,27372565,6105,2842
4,+,84944177,84981357,37180,2841
10,-,27416376,27380199,36177,2841
4,+,84920120,84938295,18175,2840
10,-,27437154,27421458,15696,2840
4,+,84900263,84917215,16952,2839
10,-,27464492,27448808,15684,2839
4,+,84891986,84899702,7716,2838
10,-,27472637,27465471,7166,2838
4,+,84872193,84891986,19793,2837
10,-,27492562,27473293,19269,2837
4,+,84862442,84871561,9119,2836
10,-,27501721,27492993,8728,2836
4,+,84810888,84816904,6016,2835
10,-,27554047,27548305,5742,2835
4,+,84803545,84810888,7343,2834
10,-,27563156,27556388,6768,2834
4,+,84798367,84803545,5178,2833
10,-,27569522,27564492,5030,2833
4,+,84788336,84798367,10031,2832
10,-,27579954,27570169,9785,2832
4,+,84772252,84786911,14659,2831
10,-,27594457,27580710,13747,2831
4,+,84760916,84772090,11174,2830
10,-,27605488,27595020,10468,2830
4,+,84753597,84760916,7319,2829
10,-,27613162,27605958,7204,2829
4,+,84698453,84752087,53634,2828
10,-,27662707,27613414,49293,2828
4,+,84683699,84698453,14754,2827
10,-,27677695,27663289,14406,2827
4,+,84652643,84672466,19823,2826
10,-,27706479,27687880,18599,2826
4,+,84635774,84652193,16419,2825
10,-,27723634,27708390,15244,2825
4,+,84613354,84624391,11037,2824
10,-,27742399,27731963,10436,2824
4,+,84595930,84612995,17065,2823
10,-,27758838,27743033,15805,2823
4,+,84576069,84587159,11090,2822
10,-,27771999,27762451,9548,2822
4,+,84552955,84561630,8675,2821
10,-,27789360,27781011,8349,2821
4,+,84522327,84549005,26678,2820
10,-,27818632,27792694,25938,2820
4,+,84506937,84522327,15390,2819
10,-,27834196,27819413,14783,2819
4,+,84497915,84506735,8820,2818
10,-,27843119,27834644,8475,2818
4,+,84487177,84497915,10738,2817
10,-,27853460,27843320,10140,2817
4,+,84460260,84484799,24539,2816
10,-,27876075,27853665,22410,2816
4,+,84430633,84436789,6156,2815
10,-,27903031,27896932,6099,2815
4,+,84355780,84372869,17089,2814
10,-,28009199,27994834,14365,2814
4,+,84319628,84335580,15952,2813
10,-,28043280,28028941,14339,2813
4,+,84307861,84319628,11767,2812
10,-,28055277,28043718,11559,2812
4,+,84291319,84307679,16360,2811
10,-,28070664,28055552,15112,2811
4,+,84243341,84253422,10081,2810
10,-,28108874,28099303,9571,2810
4,+,84213989,84221265,7276,2809
10,-,28141498,28134862,6636,2809
4,+,84198874,84207615,8741,2808
10,-,28157211,28148566,8645,2808
4,+,84189620,84196023,6403,2807
10,-,28165324,28159575,5749,2807
4,+,84174148,84188415,14267,2806
10,-,28183511,28169721,13790,2806
4,+,84161579,84174148,12569,2805
10,-,28195561,28184041,11520,2805
4,+,84137530,84150779,13249,2804
10,-,28217452,28205125,12327,2804
4,+,84081917,84090968,9051,2803
10,-,28329352,28321156,8196,2803
4,+,84049637,84063106,13469,2802
10,-,28361530,28348931,12599,2802
4,+,84040374,84047171,6797,2801
10,-,28369791,28364086,5705,2801
4,+,84025627,84040374,14747,2800
10,-,28385382,28371380,14002,2800
4,+,84006736,84022603,15867,2799
10,-,28403172,28388238,14934,2799
4,+,83967239,83972628,5389,2798
10,-,28443590,28438119,5471,2798
4,+,83949442,83956719,7277,2797
10,-,28455416,28450074,5342,2797
4,+,83934010,83945681,11671,2796
10,-,28466580,28455901,10679,2796
4,+,83879017,83902491,23474,2795
10,-,28518735,28496926,21809,2795
4,+,83863558,83875650,12092,2794
10,-,28537444,28526077,11367,2794
4,+,83826669,83851842,25173,2793
10,-,28576111,28552841,23270,2793
4,+,83713440,83802816,89376,2792
10,-,28690663,28599705,90958,2792
4,+,83616862,83630295,13433,2791
10,-,1194844,1183613,11231,2791
4,+,83580550,83589976,9426,2790
10,+,1166186,1172602,6416,2790
4,+,83558409,83565154,6745,2789
10,+,1148744,1154699,5955,2789
4,+,83524772,83540049,15277,2788
10,+,1123400,1135862,12462,2788
4,+,83481307,83499700,18393,2787
10,+,1084871,1101258,16387,2787
4,+,83468226,83474048,5822,2786
10,+,1073952,1079183,5231,2786
4,+,83462086,83468146,6060,2785
10,+,1068400,1073675,5275,2785
4,+,83433066,83449334,16268,2784
10,+,1043828,1058229,14401,2784
4,+,83408541,83414429,5888,2783
10,+,1023844,1029318,5474,2783
4,+,83398544,83407180,8636,2782
10,+,1015264,1022199,6935,2782
4,+,83383653,83397138,13485,2781
10,+,1003021,1014558,11537,2781
4,+,83284478,83365846,81368,2780
10,+,936670,1002717,66047,2780
4,+,83187905,83235742,47837,2779
10,-,455754,413999,41755,2779
4,+,83153045,83161751,8706,2778
10,-,463550,456049,7501,2778
4,+,83134607,83143633,9026,2777
10,-,482152,473885,8267,2777
4,+,83119616,83130045,10429,2776
10,-,492461,483412,9049,2776
4,+,83106223,83115806,9583,2775
10,-,500887,493560,7327,2775
4,+,83076893,83103425,26532,2774
10,-,526906,503126,23780,2774
4,+,83002128,83059296,57168,2773
10,-,577747,527363,50384,2773
4,+,82951031,82980016,28985,2772
10,-,607425,581424,26001,2772
4,+,82926902,82938116,11214,2771
10,-,622684,612850,9834,2771
4,+,82910851,82924782,13931,2770
10,-,635663,622982,12681,2770
4,+,82861576,82899114,37538,2769
10,-,673873,642108,31765,2769
4,+,82824037,82852632,28595,2768
10,-,706912,680943,25969,2768
4,+,82700262,82804844,104582,2767
10,-,803883,709961,93922,2767
4,+,82661387,82695610,34223,2766
10,-,837921,806804,31117,2766
4,+,82644843,82651267,6424,2765
10,-,848572,843303,5269,2765
4,+,82584831,82620778,35947,2764
10,-,891368,859778,31590,2764
4,+,82536610,82562538,25928,2763
10,-,922561,901778,20783,2763
4,+,82470377,82531209,60832,2762
10,-,1247249,1214466,32783,2762
4,+,82392515,82436791,44276,2761
10,-,1300706,1271732,28974,2761
4,+,82333914,82341740,7826,2760
10,-,30073,23328,6745,2760
4,+,82250742,82315710,64968,2759
10,-,95027,37310,57717,2759
4,+,82207557,82221650,14093,2758
10,-,159951,147989,11962,2758
4,+,82151529,82163386,11857,2757
10,+,305094,315310,10216,2757
4,+,81897415,82142248,244833,2756
10,-,9335790,9096421,239369,2756
4,+,81844326,81861197,16871,2755
10,-,9419253,9403225,16028,2755
4,+,81828779,81844326,15547,2754
10,-,9441129,9426133,14996,2754
4,+,81818457,81828779,10322,2753
10,-,9451610,9441785,9825,2753
4,+,81799797,81814036,14239,2752
10,-,9469731,9455868,13863,2752
4,+,81780750,81799797,19047,2751
10,-,9488479,9469995,18484,2751
4,+,81769990,81775960,5970,2750
10,-,9500534,9494528,6006,2750
4,+,81748664,81769035,20371,2749
10,-,9520126,9500872,19254,2749
4,+,81736663,81747154,10491,2748
10,-,9530134,9520431,9703,2748
4,+,81712070,81719317,7247,2747
10,-,9553770,9546904,6866,2747
4,+,81685698,81709876,24178,2746
10,-,9579915,9557010,22905,2746
4,+,81574691,81658831,84140,2745
10,-,9684133,9606651,77482,2745
4,+,81459473,81548298,88825,2744
10,-,9809637,9719630,90007,2744
4,+,81425407,81445561,20154,2743
10,-,9839486,9820899,18587,2743
4,+,81417957,81424674,6717,2742
10,-,9845769,9839897,5872,2742
4,+,81407570,81413871,6301,2741
10,-,9856501,9850757,5744,2741
4,+,81388013,81407570,19557,2740
10,-,9876044,9857357,18687,2740
4,+,81378795,81387344,8549,2739
10,-,9885375,9877262,8113,2739
4,+,81366657,81377947,11290,2738
10,-,9895825,9885919,9906,2738
4,+,81306303,81356436,50133,2737
10,-,9955073,9906289,48784,2737
4,+,81292688,81306303,13615,2736
10,-,9967148,9955592,11556,2736
4,+,81274351,81292688,18337,2735
10,-,9985235,9967573,17662,2735
4,+,81250409,81260422,10013,2734
10,-,10005009,9995672,9337,2734
4,+,81241743,81250409,8666,2733
10,-,10013742,10005555,8187,2733
4,+,81225972,81241743,15771,2732
10,-,10029187,10014454,14733,2732
4,+,81210324,81223849,13525,2731
10,-,10042685,10029675,13010,2731
4,+,81159548,81185291,25743,2730
10,-,10091734,10069116,22618,2730
