Seq_id,Strand,Start,End,Length,Block
12,+,85503079,85510768,7689,3391
13,-,26116,18397,7719,3391
12,+,85484281,85491621,7340,3390
13,-,34160,27975,6185,3390
12,+,85411535,85474498,62963,3389
13,-,92308,37113,55195,3389
12,+,85367606,85391445,23839,3388
13,-,114856,92520,22336,3388
12,+,85325687,85344679,18992,3387
13,-,132377,115096,17281,3387
12,+,85305539,85324866,19327,3386
13,-,149376,132594,16782,3386
12,+,85235186,85248101,12915,3385
13,-,161802,150825,10977,3385
12,+,85182921,85234662,51741,3384
13,-,209941,162521,47420,3384
12,+,85140143,85176258,36115,3383
13,-,248760,214974,33786,3383
12,+,85105063,85137279,32216,3382
13,-,279178,248781,30397,3382
12,+,85029433,85092335,62902,3381
13,-,337784,279739,58045,3381
12,+,85002871,85027478,24607,3380
13,-,361371,338103,23268,3380
12,+,84972134,84997252,25118,3379
13,-,383862,361629,22233,3379
12,+,84929366,84952047,22681,3378
13,-,403905,384737,19168,3378
12,+,84895773,84924269,28496,3377
13,-,428477,404136,24341,3377
12,+,84864432,84892947,28515,3376
13,-,455929,429435,26494,3376
12,+,84854230,84861214,6984,3375
13,-,462863,456258,6605,3375
12,+,84753673,84808086,54413,3374
13,-,547272,496800,50472,3374
12,+,84714853,84749891,35038,3373
13,-,579659,547925,31734,3373
12,+,84576009,84700452,124443,3372
13,-,695703,580075,115628,3372
12,+,84437062,84561908,124846,3371
13,-,848215,733799,114416,3371
12,+,84321924,84345117,23193,3370
13,-,955583,933737,21846,3370
12,+,84312900,84319983,7083,3369
13,-,964685,957894,6791,3369
12,+,84300430,84312121,11691,3368
13,-,975558,965082,10476,3368
12,+,84292704,84298926,6222,3367
13,-,981507,975892,5615,3367
12,+,84259235,84270398,11163,3366
13,-,1004500,995323,9177,3366
12,+,84249402,84257098,7696,3365
13,-,1014067,1006596,7471,3365
12,+,84228751,84235520,6769,3364
13,-,1029432,1023920,5512,3364
12,+,84215516,84228751,13235,3363
13,-,1042670,1029679,12991,3363
12,+,84192283,84198602,6319,3362
13,-,1064824,1058756,6068,3362
12,+,84151105,84187036,35931,3361
13,-,1106951,1073510,33441,3361
12,+,84143057,84151020,7963,3360
13,-,1114476,1107228,7248,3360
12,+,84117069,84126693,9624,3359
13,-,1132196,1122931,9265,3359
12,+,84102920,84116393,13473,3358
13,-,1144972,1132461,12511,3358
12,+,84084959,84091529,6570,3357
13,-,1159715,1153517,6198,3357
12,+,84073147,84084959,11812,3356
13,-,1171011,1160001,11010,3356
12,+,84066657,84072883,6226,3355
13,-,1177102,1171213,5889,3355
12,+,84059773,84066340,6567,3354
13,-,1183735,1177633,6102,3354
12,+,84035156,84054694,19538,3353
13,-,1206717,1188886,17831,3353
12,+,84022740,84032936,10196,3352
13,-,1219365,1209926,9439,3352
12,+,83990038,84022159,32121,3351
13,-,1250268,1219683,30585,3351
12,+,83975218,83983403,8185,3350
13,-,1262563,1255078,7485,3350
12,+,83944017,83956689,12672,3349
13,-,1273877,1262909,10968,3349
12,+,83919385,83930214,10829,3348
