Seq_id,Strand,Start,End,Length,Block
5,+,85339887,85500613,160726,3278
14,+,45360705,45473537,112832,3278
5,+,85237622,85246407,8785,3277
14,+,45330711,45337922,7211,3277
5,+,85154292,85162849,8557,3276
14,+,45289245,45296612,7367,3276
5,+,85140143,85150648,10505,3275
14,+,45276716,45286262,9546,3275
5,+,85122089,85138375,16286,3274
14,+,45262111,45276695,14584,3274
5,+,85082440,85114373,31933,3273
14,+,45229633,45258654,29021,3273
5,+,85033814,85051824,18010,3272
14,+,45192016,45206882,14866,3272
5,+,85021251,85031604,10353,3271
14,+,45182925,45191329,8404,3271
5,+,85004554,85014136,9582,3270
14,+,45170570,45178972,8402,3270
5,+,84993956,85001067,7111,3269
14,+,45161663,45167201,5538,3269
5,+,84987434,84993720,6286,3268
14,+,45156212,45161246,5034,3268
5,+,84951001,84959359,8358,3267
14,+,45131310,45138484,7174,3267
5,+,84919587,84932166,12579,3266
14,+,45107108,45117905,10797,3266
5,+,84907933,84919553,11620,3265
14,+,45095897,45106077,10180,3265
5,+,84885909,84897396,11487,3264
14,+,45082380,45091434,9054,3264
5,+,84872193,84885051,12858,3263
14,+,45070748,45081758,11010,3263
5,+,84863239,84872006,8767,3262
14,+,45062454,45070450,7996,3262
5,+,84789795,84796932,7137,3261
14,+,44999931,45005732,5801,3261
5,+,84778268,84786991,8723,3260
14,+,44992647,44999931,7284,3260
5,+,84740395,84775677,35282,3259
14,+,44960969,44991916,30947,3259
5,+,84732587,84739066,6479,3258
14,+,44955284,44960733,5449,3258
5,+,84697309,84712490,15181,3257
14,+,44926724,44940553,13829,3257
5,+,84683699,84689938,6239,3256
14,+,44914292,44919511,5219,3256
5,+,84660592,84670263,9671,3255
14,+,44891264,44900447,9183,3255
5,+,84644841,84658151,13310,3254
14,+,44879046,44889604,10558,3254
5,+,84635746,84643454,7708,3253
14,+,44872080,44878074,5994,3253
5,+,84626906,84634997,8091,3252
14,+,44864602,44871798,7196,3252
5,+,84619379,84625747,6368,3251
14,+,44858872,44864398,5526,3251
5,+,84603707,84616176,12469,3250
14,+,44848633,44858178,9545,3250
5,+,84584144,84598110,13966,3249
14,+,44838104,44848242,10138,3249
5,+,84529120,84562111,32991,3248
14,+,44809854,44836169,26315,3248
5,+,84513213,84523650,10437,3247
14,+,44800809,44809541,8732,3247
5,+,84487237,84496624,9387,3246
14,+,44782760,44790290,7530,3246
5,+,84290182,84343185,53003,3245
